computers  mathematics with applications,VENUE,27,a possible scheme for classifying phase transitions in the generalized entropy spectrum of a nonhyperbolic system,PAPER,27
d w kurtz,AUTHOR,346,a search for rapid pulsations among nine luminous ap stars,PAPER,346
b v paranjape,AUTHOR,26,a simple theory of mobility for ions in gases,PAPER,26
a simple theory of mobility for ions in gases,PAPER,26,b v paranjape,AUTHOR,26
a possible scheme for classifying phase transitions in the generalized entropy spectrum of a nonhyperbolic system,PAPER,27,computers  mathematics with applications,VENUE,27
d w kurtz,AUTHOR,346,conny aerts,AUTHOR,346
david g koch,AUTHOR,346,conny aerts,AUTHOR,346
david w latham,AUTHOR,346,conny aerts,AUTHOR,346
dennis stello,AUTHOR,346,conny aerts,AUTHOR,346
a search for rapid pulsations among nine luminous ap stars,PAPER,346,d w kurtz,AUTHOR,346
conny aerts,AUTHOR,346,d w kurtz,AUTHOR,346
david g koch,AUTHOR,346,d w kurtz,AUTHOR,346
david w latham,AUTHOR,346,d w kurtz,AUTHOR,346
dennis stello,AUTHOR,346,d w kurtz,AUTHOR,346
conny aerts,AUTHOR,346,david g koch,AUTHOR,346
d w kurtz,AUTHOR,346,david g koch,AUTHOR,346
david w latham,AUTHOR,346,david g koch,AUTHOR,346
dennis stello,AUTHOR,346,david g koch,AUTHOR,346
conny aerts,AUTHOR,346,david w latham,AUTHOR,346
d w kurtz,AUTHOR,346,david w latham,AUTHOR,346
david g koch,AUTHOR,346,david w latham,AUTHOR,346
dennis stello,AUTHOR,346,david w latham,AUTHOR,346
conny aerts,AUTHOR,346,dennis stello,AUTHOR,346
d w kurtz,AUTHOR,346,dennis stello,AUTHOR,346
david g koch,AUTHOR,346,dennis stello,AUTHOR,346
david w latham,AUTHOR,346,dennis stello,AUTHOR,346
a possible scheme for classifying phase transitions in the generalized entropy spectrum of a nonhyperbolic system,PAPER,27,elsevier,PUBLISHER,27
christopher j l silwood,AUTHOR,27,examination of the molecular nature of lowmolecularmass chromiumiii ions in isolated osteoarthritic kneejoint synovial fluid,PAPER,27
a n sadkov,AUTHOR,26,g g urushadze,AUTHOR,26
conny aerts,AUTHOR,346,g handler,AUTHOR,346
d w kurtz,AUTHOR,346,g handler,AUTHOR,346
david g koch,AUTHOR,346,g handler,AUTHOR,346
